Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1961","1961","kg","2.04","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1962","1962","kg","2.63","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1963","1963","kg","4.79","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1964","1964","kg","6.32","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1965","1965","kg","7.11","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1966","1966","kg","7.54","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1967","1967","kg","7.83","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1968","1968","kg","7.49","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1969","1969","kg","7.06","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1970","1970","kg","6.78","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1971","1971","kg","7.65","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1972","1972","kg","8.3","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1973","1973","kg","8.11","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1974","1974","kg","7.99","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1975","1975","kg","8.06","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1976","1976","kg","7.8","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1977","1977","kg","7.67","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1978","1978","kg","8.32","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1979","1979","kg","10.22","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1980","1980","kg","11.39","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1981","1981","kg","11.77","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1982","1982","kg","12.38","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1983","1983","kg","12.62","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1984","1984","kg","13.63","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1985","1985","kg","15.36","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1986","1986","kg","15.67","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1987","1987","kg","16.44","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1988","1988","kg","17.6","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1989","1989","kg","18.17","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1990","1990","kg","18.98","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1991","1991","kg","19.87","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1992","1992","kg","20.99","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1993","1993","kg","21.73","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1994","1994","kg","23.22","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1995","1995","kg","23.65","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1996","1996","kg","23.59","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1997","1997","kg","24.39","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1998","1998","kg","25.96","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1999","1999","kg","26.34","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2000","2000","kg","27.92","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2001","2001","kg","27.81","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2002","2002","kg","28.35","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2003","2003","kg","29.65","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2004","2004","kg","29.63","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2005","2005","kg","30.53","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2006","2006","kg","31.63","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2007","2007","kg","31.93","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2008","2008","kg","33.6","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2009","2009","kg","34.68","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2010","2010","kg","35.71","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2011","2011","kg","35.62","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2012","2012","kg","37.56","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2013","2013","kg","38.43","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1961","1961","kg","27.69","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1962","1962","kg","28.39","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1963","1963","kg","29.24","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1964","1964","kg","29.04","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1965","1965","kg","25.98","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1966","1966","kg","26.16","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1967","1967","kg","28.61","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1968","1968","kg","29.55","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1969","1969","kg","28.98","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1970","1970","kg","29.64","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1971","1971","kg","32.56","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1972","1972","kg","30.06","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1973","1973","kg","27.48","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1974","1974","kg","29.58","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1975","1975","kg","24.13","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1976","1976","kg","25.55","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1977","1977","kg","26.97","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1978","1978","kg","27","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1979","1979","kg","30.83","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1980","1980","kg","32.95","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1981","1981","kg","31.41","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1982","1982","kg","28.1","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1983","1983","kg","29.62","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1984","1984","kg","29.32","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1985","1985","kg","29.44","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1986","1986","kg","27.76","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1987","1987","kg","27.95","Fc","Calculated data"
