Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1988","1988","kg","29.86","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1989","1989","kg","29.64","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1990","1990","kg","28.4","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1991","1991","kg","28.67","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1992","1992","kg","30.34","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1993","1993","kg","30","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1994","1994","kg","30.35","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1995","1995","kg","30.03","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1996","1996","kg","28.07","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1997","1997","kg","27.82","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1998","1998","kg","30.48","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1999","1999","kg","30.84","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2000","2000","kg","29.54","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2001","2001","kg","29.16","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2002","2002","kg","29.96","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2003","2003","kg","30.12","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2004","2004","kg","29.96","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2005","2005","kg","29.18","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2006","2006","kg","28.85","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2007","2007","kg","29.56","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2008","2008","kg","29.08","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2009","2009","kg","29.07","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2010","2010","kg","27.99","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2011","2011","kg","26.81","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2012","2012","kg","27.21","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","231","United States of America","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2013","2013","kg","27.64","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1961","1961","kg","23.82","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1962","1962","kg","24.12","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1963","1963","kg","23.83","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1964","1964","kg","24.82","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1965","1965","kg","26.22","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1966","1966","kg","26.07","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1967","1967","kg","26.74","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1968","1968","kg","27.88","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1969","1969","kg","27.6","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1970","1970","kg","28.49","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1971","1971","kg","30.36","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1972","1972","kg","31.92","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1973","1973","kg","32.08","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1974","1974","kg","33.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1975","1975","kg","33.98","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1976","1976","kg","33.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1977","1977","kg","34.19","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1978","1978","kg","36.16","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1979","1979","kg","37.71","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1980","1980","kg","38.48","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1981","1981","kg","38.22","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1982","1982","kg","38.09","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1983","1983","kg","38.62","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1984","1984","kg","38.83","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1985","1985","kg","39.12","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1986","1986","kg","39.81","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1987","1987","kg","40.8","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1988","1988","kg","41.83","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1989","1989","kg","41.49","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1990","1990","kg","41.14","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1991","1991","kg","40.6","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1992","1992","kg","40.24","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1993","1993","kg","41.34","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1994","1994","kg","40.12","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1995","1995","kg","39.9","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1996","1996","kg","40.65","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1997","1997","kg","39.53","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1998","1998","kg","42.15","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1999","1999","kg","41.89","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2000","2000","kg","41.3","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2001","2001","kg","41","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2002","2002","kg","41.06","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2003","2003","kg","41.64","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2004","2004","kg","40.29","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2005","2005","kg","40.72","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2006","2006","kg","40.93","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2007","2007","kg","41.57","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2008","2008","kg","40.88","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2009","2009","kg","40.35","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2010","2010","kg","40.63","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2011","2011","kg","40.15","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2012","2012","kg","39.52","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5706","European Union (28)","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2013","2013","kg","39","Fc","Calculated data"
