Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1961","1961","Head","33000000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1961","1961","hg/An","415","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1961","1961","tonnes","1370000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1962","1962","Head","43000000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1962","1962","hg/An","414","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1962","1962","tonnes","1780000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1963","1963","Head","78000000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1963","1963","hg/An","423","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1963","1963","tonnes","3300000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1964","1964","Head","105000000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1964","1964","hg/An","429","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1964","1964","tonnes","4500000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1965","1965","Head","121670000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1965","1965","hg/An","431","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1965","1965","tonnes","5250000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1966","1966","Head","131870000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1966","1966","hg/An","432","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1966","1966","tonnes","5700000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1967","1967","Head","133780000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1967","1967","hg/An","448","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1967","1967","tonnes","6000000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1968","1968","Head","131140000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1968","1968","hg/An","450","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1968","1968","tonnes","5900000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1969","1969","Head","126200000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1969","1969","hg/An","452","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1969","1969","tonnes","5700000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1970","1970","Head","125930000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1970","1970","hg/An","447","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1970","1970","tonnes","5635000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1971","1971","Head","147980000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1971","1971","hg/An","443","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1971","1971","tonnes","6550000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1972","1972","Head","165980000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1972","1972","hg/An","440","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1972","1972","tonnes","7300000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1973","1973","Head","166840000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1973","1973","hg/An","438","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1973","1973","tonnes","7300000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1974","1974","Head","162440000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1974","1974","hg/An","446","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1974","1974","tonnes","7250000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1975","1975","Head","162300000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1975","1975","hg/An","460","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1975","1975","tonnes","7460000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1976","1976","Head","166500000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1976","1976","hg/An","440","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1976","1976","tonnes","7330000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1977","1977","Head","167870000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1977","1977","hg/An","435","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1977","1977","tonnes","7300000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1978","1978","Head","161100000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1978","1978","hg/An","500","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1978","1978","tonnes","8048000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1979","1979","Head","187680000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1979","1979","hg/An","534","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1979","1979","tonnes","10015000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1980","1980","Head","198610000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1980","1980","hg/An","571","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1980","1980","tonnes","11341000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1981","1981","Head","194950000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1981","1981","hg/An","610","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1981","1981","tonnes","11884000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1982","1982","Head","200630000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1982","1982","hg/An","634","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1982","1982","tonnes","12718000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1983","1983","Head","206614000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1983","1983","hg/An","637","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1983","1983","tonnes","13161000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1984","1984","Head","220470000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1984","1984","hg/An","655","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1984","1984","tonnes","14447000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1985","1985","Head","238752000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1985","1985","hg/An","693","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1985","1985","tonnes","16547000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1986","1986","Head","257215008","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1986","1986","hg/An","667","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1986","1986","tonnes","17167000","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1987","1987","Head","261770000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1987","1987","hg/An","701","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1987","1987","tonnes","18349008","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1988","1988","Head","272946000","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1988","1988","hg/An","732","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1988","1988","tonnes","19974250","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1989","1989","Head","287327700","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1989","1989","hg/An","731","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1989","1989","tonnes","21015720","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1990","1990","Head","303711808","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1990","1990","hg/An","736","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1990","1990","tonnes","22354800","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1991","1991","Head","319101888","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1991","1991","hg/An","769","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1991","1991","tonnes","24523000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1992","1992","Head","337628992","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1992","1992","hg/An","781","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1992","1992","tonnes","26353000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1993","1993","Head","351761408","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1993","1993","hg/An","811","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1993","1993","tonnes","28544000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1994","1994","Head","377609408","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1994","1994","hg/An","849","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1994","1994","tonnes","32048300","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1995","1995","Head","389572192","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1995","1995","hg/An","937","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1995","1995","tonnes","36483700","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1996","1996","Head","387516000","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1996","1996","hg/An","815","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1996","1996","tonnes","31580000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1997","1997","Head","399119616","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1997","1997","hg/An","901","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1997","1997","tonnes","35963000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1998","1998","Head","427251392","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1998","1998","hg/An","909","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1998","1998","tonnes","38837000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1999","1999","Head","448761984","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1999","1999","hg/An","893","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1999","1999","tonnes","40056000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2000","2000","Head","466760800","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2000","2000","hg/An","850","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2000","2000","tonnes","39659900","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2001","2001","Head","472374784","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2001","2001","hg/An","858","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2001","2001","tonnes","40517000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2002","2002","Head","483773152","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2002","2002","hg/An","852","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2002","2002","tonnes","41231000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2003","2003","Head","510505216","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2003","2003","hg/An","830","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2003","2003","tonnes","42386000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2004","2004","Head","518927808","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2004","2004","hg/An","837","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2004","2004","tonnes","43410000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2005","2005","Head","540232510","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2005","2005","hg/An","843","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2005","2005","tonnes","45553300","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2006","2006","Head","559682820","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2006","2006","hg/An","831","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2006","2006","tonnes","46504500","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2007","2007","Head","565083010","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2007","2007","hg/An","759","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2007","2007","tonnes","42878200","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2008","2008","Head","591860990","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2008","2008","hg/An","781","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2008","2008","tonnes","46205000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2009","2009","Head","614400000","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2009","2009","hg/An","796","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2009","2009","tonnes","48907600","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2010","2010","Head","666864000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2010","2010","hg/An","760","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2010","2010","tonnes","50712400","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2011","2011","Head","663620990","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2011","2011","hg/An","763","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2011","2011","tonnes","50604000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2012","2012","Head","697894980","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2012","2012","hg/An","766","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2012","2012","tonnes","53427000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2013","2013","Head","715569980","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2013","2013","hg/An","768","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2013","2013","tonnes","54930300","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2014","2014","Head","735104000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2014","2014","hg/An","772","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2014","2014","tonnes","56713900","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2015","2015","Head","724156000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2015","2015","hg/An","780","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2015","2015","tonnes","56454000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2016","2016","Head","700739000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2016","2016","hg/An","774","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2016","2016","tonnes","54255000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2017","2017","Head","702021000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2017","2017","hg/An","777","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2017","2017","tonnes","54518000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2018","2018","Head","684960476","Im","FAO data based on imputation methodology",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2018","2018","hg/An","789","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2018","2018","tonnes","54037400","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1961","1961","Head","81970000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1961","1961","hg/An","631","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1961","1961","tonnes","5174000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1962","1962","Head","83424000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1962","1962","hg/An","643","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1962","1962","tonnes","5365000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1963","1963","Head","87117008","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1963","1963","hg/An","647","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1963","1963","tonnes","5637000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1964","1964","Head","86284000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1964","1964","hg/An","658","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1964","1964","tonnes","5676000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1965","1965","Head","76458000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1965","1965","hg/An","661","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1965","1965","tonnes","5053000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1966","1966","Head","75382000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1966","1966","hg/An","682","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1966","1966","tonnes","5143257","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1967","1967","Head","83420000","","Official data",""
